core	walltime	delay	loss	avg. delay
  1	501	8	0.0157	0.5333
  2	507	12	0.0231	0.8000
  3	498	7	0.0139	0.4667
  4	517	13	0.0245	0.8125
  5	518	10	0.0189	0.6667
  6	509	11	0.0212	0.6875
  7	507	9	0.0174	0.6000
  8	513	4	0.0077	0.2353
  9	508	2	0.0039	0.1250
 10	530	3	0.0056	0.1765
 11	503	6	0.0118	0.4286
 12	530	1	0.0019	0.0588
 13	513	1	0.0019	0.0625
 14	514	6	0.0115	0.3529
 15	539	2	0.0037	0.1250
 16	512	3	0.0058	0.1875
 17	523	3	0.0057	0.1765
 18	512	5	0.0097	0.2941
 19	515	3	0.0058	0.1765
 20	520	4	0.0076	0.2353
 21	511	3	0.0058	0.1875
 22	499	5	0.0099	0.3125
 23	525	5	0.0094	0.2941
 24	515	2	0.0039	0.1176
 25	527	2	0.0038	0.1250
 26	507	5	0.0098	0.3125
 27	520	3	0.0057	0.1765
 28	528	2	0.0038	0.1176
 29	530	0	0.0000	0.0000
 30	503	2	0.0040	0.1250
 31	530	2	0.0038	0.1176
 32	532	4	0.0075	0.2353
 33	518	2	0.0038	0.1333
 34	499	4	0.0080	0.2500
 35	527	2	0.0038	0.1176
 36	499	4	0.0080	0.2500
 37	509	2	0.0039	0.1250
 38	512	6	0.0116	0.3529
 39	517	4	0.0077	0.2353
 40	510	2	0.0039	0.1333
 41	523	3	0.0057	0.1765
 42	506	5	0.0098	0.3125
 43	521	3	0.0057	0.1765
 44	518	2	0.0038	0.1176
 45	501	1	0.0020	0.0625
 46	518	1	0.0019	0.0667
 47	525	1	0.0019	0.0588
 48	518	4	0.0077	0.2353
 49	518	4	0.0077	0.2353
 50	509	4	0.0078	0.2500
 51	516	5	0.0096	0.2941
 52	523	3	0.0057	0.1875
 53	515	6	0.0115	0.3529
 54	508	6	0.0117	0.3750
 55	508	3	0.0059	0.1875
 56	528	2	0.0038	0.1176
 57	520	1	0.0019	0.0588
 58	504	6	0.0118	0.3750
 59	521	4	0.0076	0.2353
 60	505	4	0.0079	0.2667
 61	519	4	0.0076	0.2500
 62	511	2	0.0039	0.1250
 63	520	4	0.0076	0.2500
 64	500	2	0.0040	0.1250
 65	500	3	0.0060	0.1875
 66	497	3	0.0060	0.1875
 67	504	5	0.0098	0.3125
 68	494	5	0.0100	0.3125
 69	509	1	0.0020	0.0625
 70	494	2	0.0040	0.1250
 71	525	5	0.0094	0.2941
 72	498	3	0.0060	0.1875
 73	494	5	0.0100	0.3125
 74	514	7	0.0134	0.4118
 75	515	4	0.0077	0.2353
 76	509	8	0.0155	0.4706
 77	514	3	0.0058	0.2000
 78	519	4	0.0076	0.2353
 79	522	2	0.0038	0.1176
 80	513	4	0.0077	0.2353
 81	497	3	0.0060	0.1875
 82	497	3	0.0060	0.1875
 83	518	4	0.0077	0.2353
 84	498	0	0.0000	0.0000
 85	509	3	0.0059	0.2000
